cpu_clean,count
,161
i7-13620h,35
i5-13420h,35
u5-125h,18
i5-1235u,17
i5-1335u,17
i7-1355u,17
u7-155h,17
i5-1334u,16
i5-13500h,15
i5-12450h,15
ryzenai7350,15
core5-210h,14
i9-14900hx,13
u7-258v,12
i7-13650hx,12
u7-255h,11
u9-275hx,11
i7-14650hx,11
i3-1215u,10
i7-13700h,9
u5-225h,9
i5-12500h,9
i3-1315u,8
u7-255hx,8
i7-1255u,8
i7-14700hx,8
core7-240h,7
r5-7535hs,7
ryzenai9hx370,7
r7-8845hs,7
u5-226v,6
i5-12450hx,6
i5-1135g7,6
r5-7530u,6
r7-7730u,6
r7-7435hs,5
r5-7235hs,5
r5-7520u,5
core5-120u,5
i5-13450hx,5
i7-1360p,4
r7-7735hs,4
i5-11400h,4
i7-12650h,3
i3-1005g1,3
i9-13900h,3
i5-1035g1,3
i7-12700h,3
r5-5625u,3
i5-1240p,3
u9-285h,3
copilot+xplusx1p,3
r7-5700u,3
r5-7640hs,3
u7-155u,3
u5-125u,2
i5-1340p,2
i3-n305,2
u9-288v,2
r7-7445hs,2
i3-1305u,2
r7-5825u,2
ryzenai5340,2
u9-185h,2
i31005g1,2
r7-6800h,2
r7-260,2
i3-1115g4,2
i7-1165g7,2
r7-5800h,2
r5-7430u,2
r5-5500u,2
corei5-1135g7,2
i5-13500hx,1
r53550h,1
core7-150u,1
r5-8640hs,1
corei7-9750h,1
ryzenai5330,1
r5-5600h,1
u9-285hx,1
i5-1155g7,1
i7-10510u,1
i7-1075082au00g9vnh,1
i7-1195g7,1
r5-8645hs,1
r5-7533hs,1
r9-5900hs,1
ryzen5-3500u,1
r9-8940hx,1
i5-14450hx,1
"\"n4020",1
ryzenaimax+395,1
i7-1260p,1
r7-250,1
x1p,1
u5-225u,1
i7-10750h,1
r7-8840hs,1
ryzen9aihx-370,1
r78845hs,1
r7-4700u,1
i7-1250u,1
corei3-1125g4,1
x1-26-100,1
i7-13700hx,1
i711370h,1
u5-228v,1
snapdragonx1-26-100,1
i5-10300h,1
n4120,1
8cpu10gpu8gb512gb2023xámchínhhãng(mqkq3),1
mydc2-myd92,1
copilot+xelitex1e,1
core3-100u,1
r5-4500u,1
mkgp3,1
i3-1125g4,1
n3710,1
corei7-10510u,1
i7-11800h,1
r9-8945h,1
i7-1365u,1
r5-6600h,1
corei7-10510u16gb,1
