cpu_clean,count
n/a,148
i513420h,27
i713620h,23
i51334u,18
i71355u,16
i51235u,14
i51335u,13
core5120u,10
i513500h,8
i714650hx,8
core7150u,8
i512450h,7
i512500h,7
i714700hx,7
i713650hx,5
r77435hs,5
i71255u,5
r57535hs,4
i31215u,4
i512450hx,4
r57530u,4
r57430u,4
r75700u,4
r78840hs,3
r57520u,3
r57235hs,3
i513450hx,3
i31315u,3
i31305u,2
i712650h,2
r77840hs,2
i712700h,2
r56600h,2
r58640hs,2
r78845hs,2
r77730u,2
r77445hs,2
r57640hs,2
16690000.0,2
i5340w,1
i7748w,1
i71260p,1
i7204w,1
45390000.0,1
i514450hx,1
19590000.0,1
i5211w,1
r58645hs,1
i914900hx,1
i5057w,1
i7421w,1
i7125w,1
i3n305,1
r58640u,1
i5357w,1
i5530w,1
i7512w,1
i913900h,1
i5006w,1
i51240p,1
r77735hs,1
i7216w,1
i7301w,1
