id,product_name,current_price,list_price,brand,category,cpu,ram,storage,screen_size,screen_resolution,os,software,average_rating,product_url
1,"Laptop HP 15 fc0085AU - A6VV8PA (R5 7430U, 16GB, 512GB, Full HD, Win11)",13190000.0,14890000.0,HP,Laptop,R5 7430U,16GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa
2,"Laptop Asus Vivobook Go 15 E1504FA - NJ776W (R5 7520U, 16GB, 512GB, Full HD, Win11)",12690000.0,14190000.0,Asus,Laptop,R5 7520U,16GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w
3,"Laptop Dell Inspiron 15 3530 - N5I5530W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",17490000.0,19590000.0,Dell,Laptop,I5530W,16GB,512GB,N/A,Full HD,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5530w1
4,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000HVN (i5 13420H, 16GB, 512GB, WUXGA, Win11)",15690000.0,16990000.0,Lenovo,Laptop,i5 13420H,16GB,512GB,N/A,WUXGA,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn
5,Laptop MacBook Air 13 inch M4 16GB/256GB,25090000.0,26490000.0,MacBook,Laptop,N/A,16GB,256GB,13 inch,N/A,macOS,N/A,4.9,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb
6,"Laptop Acer Aspire Lite 15 AL15 71P 517D - NX.J7KSV.001 (i5 12450H, 16GB, 512GB, Full HD, Win11)",14490000.0,15590000.0,Acer,Laptop,i5 12450H,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-71p-517d-i5-nxj7ksv001
7,"Laptop Asus Vivobook 15 X1504VA - NJ1634W (i3 1315U, 8GB, 512GB, Full HD, Win11)",11290000.0,12490000.0,Asus,Laptop,i3 1315U,8GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w
8,"Laptop Lenovo Ideapad Slim 3 15AMN8 - 82XQ00J0VN (R5 7520U, 16GB, 512GB, Full HD, Win11)",13190000.0,14390000.0,Lenovo,Laptop,R5 7520U,16GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn
9,"Laptop HP 240 G10 - B93GZAT (i5 1334U, 16GB, 512GB, Full HD, Win11)",16190000.0,18390000.0,HP,Laptop,i5 1334U,16GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/hp-240-g10-i5-b93gzat
10,"Laptop Dell Inspiron 15 3520 - 25P231 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeHS, KYHD, Win11)",15990000.0,16690000.0,Dell,Laptop,i5 1235U,16GB,512GB,N/A,Full HD,Windows 11,OfficeHS,4.9,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-25p231
