id,product_name,current_price_raw,list_price_raw,raw_specs_string,product_url
1,Laptop Gigabyte G6 MF-H2PH853KH,22.990.000đ,25.190.000đ,I7-13620H/16GB/512GB PCIE/VGA 6GB RTX4050/16.0 FHD+ 165HZ/WIN11/ĐEN,https://cellphones.com.vn/laptop-gigabyte-g6-mf-h2ph853kh.html
2,Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006CVN,22.490.000đ,24.590.000đ,CORE 5-210H/32GB/1TB PCIE/14.0 WUXGA OLED/WIN11/XÁM,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14irh10r-83j0006cvn.html
3,MacBook Pro 14 M4 Pro 14CPU 20GPU 24GB 512GB Nano | Chính hãng Apple Việt Nam,57.490.000đ,58.790.000đ,,https://cellphones.com.vn/macbook-pro-m4-pro-14-inch-14cpu-20gpu-24gb-512gb-nano.html
4,Laptop ASUS Gaming V16 K3607VJ-RP106W,22.690.000đ,24.490.000đ,CORE 7-240H/16GB/512GB PCIE/VGA 6GB RTX3050/16.0 WUXGA 144HZ/WIN11/ĐEN,https://cellphones.com.vn/laptop-asus-v16-k3607vj-rp106w.html
5,Laptop Lenovo IdeaPad Slim 3 15IRH10 83K1000GVN,15.990.000đ,17.990.000đ,I5-13420H/24GB/512GB PCIE/15.3 WUXGA/WIN11/XÁM,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-15irh10-83k1000gvn.html
6,Laptop MSI Katana 15 HX B14WFK-267VN,37.490.000đ,40.190.000đ,I7-14650HX/32GB/512GB PCIE/VGA 8GB RTX5060/15.6 QHD 165HZ/WIN11/ĐEN/BALO,https://cellphones.com.vn/laptop-msi-katana-15-hx-b14wfk-267vn.html
7,Laptop MSI Prestige 13 EVO A13M-081VN,Liên hệ để báo giá,N/A,I7-1360P/16GB/1TB PCIE/13.3 FHD+/WIN11/XÁM/TÚI,https://cellphones.com.vn/laptop-msi-prestige-13-evo-a13m-081vn.html
8,Laptop MSI Prestige 16 AI+ Evo B2VMG-016VN,43.190.000đ,45.990.000đ,U9-288V/32GB/1TB PCIE/16.0 UHD+ OLED/WIN11/XÁM/TÚI,https://cellphones.com.vn/laptop-msi-prestige-16-ai-evo-b2vmg-016vn.html
9,Laptop ASUS ROG Strix Scar 16 G634JYR-RA132W,Liên hệ để báo giá,N/A,I9-14900HX/64GB/2TB PCIE/VGA 16GB RTX4090/16.0 QHD+ 240HZ/WIN11/ĐEN/BALO/CHUỘT,https://cellphones.com.vn/laptop-asus-rog-strix-scar-16-g634jyr-ra132w.html
10,Laptop Dell Latitude E7450,Liên hệ để báo giá,N/A,,https://cellphones.com.vn/laptop-dell-latitude-e7450.html
